sentences	sentence_id
"Jádro problému ""bankroty, anebo nikoliv"" je totiž z pohledu bank viděno naprosto odlišně, než z pohledu politiků, národohospodářů či laické veřejnosti:"	cmpr9406-002-p18s1A
Způsob tisku: Laser	cmpr9406-022-p3s1
INHORGENTA München - 21. mezinárodní odborný veletrh hodin, bižuterie, drahých kamenů, perel, stříbrného zboží a zařízení pro jejich zhotovení: 4. - 7.2.	cmpr9406-032-p3s1
ELTEC - Odborná výstava elektroniky: 23. - 25 . 6 .	cmpr9406-032-p11s1
Jeden - starou lakovnu s naftovými hořáky - v Neratovicích, kde nikomu nic nevadí.	cmpr9406-037-p17s3
Problémem však je zastaralost jejího technického zařízení, neboť podnik byl dlouhodobě podinvestován.	cmpr9406-063-p8s1
* Ochranáři protestují proti výstavbě zejména proto, že hraničí s chráněnou krajinnou oblastí Český kras.	cmpr9407-021-p8s1
V lednu tohoto roku jsme od společnosti Home shopping dostali dopis, který byl adresován našemu dědečkovi.	cmpr9410-008-p17s1
Regulovaná cena většinou znamená, že vlk se nažral a koza zůstala celá.	cmpr9410-048-p12s14
To by se mělo změnit.	cmpr9413-002-p6s5
Vysoké využití podhorských pastvin, nejkvalitnější stáda.	cmpr9413-006-p26s1
Obdobný dopis je povinen dánský podnik zaslat také úřadům v Kodani, které o žádosti rozhodují.	cmpr9415-021-p10s4
Kámen úrazu je v tom, čím je zaplatí, řekl nám náměstek ministra a vedoucí úřadu Ministerstva průmyslu a obchodu Václav Petříček , který byl členem delegace, jež několik dní předtím připravovala v Moskvě návštěvu premiéra Václava Klause.	cmpr9415-038-p8s2
Kaktus	cmpr9416-021-p2s1
Synthesia vyrábí anorganické a organické kyseliny, hnojiva, barviva, farmaceutika, pryskyřice, lamináty a výbušniny.	cmpr9417-037-p8s1
""" Souhlasem jsme nepředurčili, komu mají pozemky připadnout,"" konstatuje ing. P. Slaný, ředitel odboru cen MF ČR."	lnd91301-016-p5s2B
Kmotrem se na Bertramce stal místopředseda české vlády Antonín Baudyš.	lnd91301-046-p1s2
Procházíme jednotlivými místnostmi.	lnd91301-050-p4s5
Téměř minimalistickému boxu Jiřího Kovandy sousedí mytizovaný kolorovaný videosvět Radka Pilaře plný prachu 20. století.	lnd91303-056-p3s7
Je zde nemožnost sestavení jakékoli koalice, získání většiny v parlamentu a tudíž vytvoření nějaké vlády s určitým programovým prohlášením.	lnd91303-063-p8s9
Pan ministr konstatuje, že většina slovenských politiků myslí pouze na prospěch Slovenska.	lnd91303-067-p4s4
Tomáš Ježek tento fakt vysvětluje administrativní chybou a tvrdí, že FNM postupoval správně, když akcie Čokoládoven rozprodal podle privatizačního projektu, tedy i První investiční.	lnd94101-006-p1s11
